Sr. No.,Institute Code,Institute Name,Status,Total Intake
237,5545,"Shri Vile Parle Kelavani Mandal's College of Engineering, Shirpur","Un-Aided, Linguistic Minority - Gujarathi",480
238,5597,VAMANRAO ITHAPE COLLEGE OF ENGINEERING AND MANAGEMENT,Un-Aided,240
239,6004,"Government College of Engineering & Research, Avasari Khurd",Government,360
240,6005,"Government College of Engineering, Karad","Government, Autonomous",300
241,6007,"Walchand College of Engineering, Sangli","Government-Aided, Autonomous",660
242,6028,"Department of Technology, Shivaji University, Kolhapur",University Department,360
243,6036,"Government College of Engineering, Kolhapur",Government,300
244,6122,"TSSMS's Pd. Vasantdada Patil Institute of Technology, Bavdhan, Pune",Un-Aided,600
245,6138,"Genba Sopanrao Moze Trust Parvatibai Genba Moze College of Engineering,Wagholi, Pune",Un-Aided,420
246,6139,"Progressive Education Society's Modern College of Engineering, Pune","Un-Aided, Autonomous",960
247,6141,"Jaywant Shikshan Prasarak Mandal's,Rajarshi Shahu College of Engineering, Tathawade, Pune","Un-Aided, Autonomous",840
248,6144,"Genba Sopanrao Moze College of Engineering, Baner-Balewadi, Pune",Un-Aided,480
249,6145,"JSPM'S Jaywantrao Sawant College of Engineering,Pune",Un-Aided,600
250,6146,"MIT Academy of Engineering,Alandi, Pune","Un-Aided, Autonomous",1440
251,6149,"Siddhant College of Engineering, A/p Sudumbare, Tal.Maval, Dist-Pune","Un-Aided, Linguistic Minority - Hindi",960
252,6155,"G.H.Raisoni College of Engineering & Management, Wagholi, Pune","Un-Aided, Autonomous, Linguistic Minority - Hindi",1230
253,6156,"Marathwada Mitra Mandal's College of Engineering, Karvenagar, Pune","Un-Aided, Autonomous",900
254,6175,"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune","Un-Aided, Autonomous",960
255,6177,"Sinhgad College of Engineering, Vadgaon (BK), Pune",Un-Aided,1140
256,6178,"Sinhgad Technical Education Society's Smt. Kashibai Navale College of Engineering,Vadgaon,Pune",Un-Aided,1050
257,6179,"Indira College of Engineering & Management, Pune","Un-Aided, Autonomous",360
258,6182,"Sinhgad Technical Education Society, Sinhgad Institute of Technology and Science, Narhe (Ambegaon)",Un-Aided,510
259,6183,"Al-Ameen Educational and Medical Foundation, College of Engineering, Koregaon, Bhima","Un-Aided, Religious Minority - Muslim",138
260,6184,"K. J.'s Educational Institut Trinity College of Engineering and Research, Pisoli, Haveli","Un-Aided, Autonomous",420
261,6185,Sinhgad Institute of Technology,Un-Aided,630
262,6187,"Sinhgad Academy of Engineering, Kondhwa (BK) Kondhwa-Saswad Road, Pune",Un-Aided,600
263,6203,"Marathwada Mitra Mandal's Institute of Technology, Lohgaon, Pune",Un-Aided,510
264,6206,"Pune District Education Association's College of Engineering, Manjari(Bk), Hadapsar, Pune",Un-Aided,420
