Sr No,College Name,Avg Package (LPA),Tier,College Code,Official Sites 
191,"Ideal Institute of Technology, Wada, Thane",2–3,Tier 4,3465,https://idealwada.com/
192,"Sharad Institute of Technology College of Engineering, Ichalkaranji",2–3,Tier 4,6317,https://www.sitcoe.ac.in/
193,"VPM's Maharshi Parshuram College of Engineering, Ratnagiri",2–3,Tier 4,3462,https://vpmmpcoe.org/mpcoenew/
194,"P.K. Technical Campus, Pune",2–3,Tier 4,6768,https://www.pkinstitute.edu.in/
195,"Shree Ramchandra College of Engineering, Lonikand",2–3,Tier 4,6759,https://www.srespune.org/
196,"Siddhant College of Engineering, Maval, Pune",2–3,Tier 4,6149,https://siddhantcoe.in/siddhant-college-of-engineering/
197,"Rajendra Mane College of Engineering, Ratnagiri",2–3,Tier 4,3202,https://www.rmcet.com/
198,"R.C. Patel College of Engineering and Polytechnic, Shirpur",2–3,Tier 4,5433,https://www.rcpit.ac.in/
199,"Keystone School of Engineering, Pune",2–3,Tier 4,6808,https://www.keystone.ac.in/
200,"Loknete Gopinathji Munde Institute of Engineering, Nashik",2–3,Tier 4,5390,https://logmieer.edu.in/
201,"Jaihind College of Engineering, Kuran",2–3,Tier 4,6609,https://jaihind.edu.in/jcoe/
202,"Sandip Institute of Engineering & Management, Nashik",2–3,Tier 4,5331,http://www.siem.sandipfoundation.org/
203,"Peoples Education Society's College of Engineering, Aurangabad",2–3,Tier 4,2134,http://www.pescoe.ac.in/
204,"Shri Chhatrapati Shivaji Maharaj College of Engineering, Nepti",2–3,Tier 4,5382,https://www.scoea.org/
205,"Kavi Kulguru Institute of Technology & Science, Ramtek",2–3,Tier 4,4104,https://kits.edu/
206,"Theem College of Engineering, Boisar",2–3,Tier 4,3222,https://theemcoe.org/
207,"Dr. Daulatrao Aher College of Engineering, Karad",2–3,Tier 4,6303,https://dacoe.ac.in/
208,"Indala College of Engineering, Bapsai, Kalyan",2–3,Tier 4,3503,https://icoe.ac.in/
209,"Anuradha Engineering College, Chikhali",2–3,Tier 4,1119,https://www.aecc.ac.in/
210,"Vidya Prasarini Sabha's College of Engineering, Lonavala",2–3,Tier 4,6815,https://vpscet.in/lander?oref=https%3A%2F%2Fwww.google.com%2F
211,"D.Y. Patil Technical Campus, Talsande, Kolhapur",2–3,Tier 4,6780,https://foet.dypgroup.edu.in/
212,"Matoshri College of Engineering, Eklahare, Nashik",2–3,Tier 4,5177,https://engg.matoshri.edu.in/
213,"Sahyadri Valley College of Engineering, Rajuri, Pune",2–3,Tier 4,6758,https://www.sahyadrivalleycollege.com/
214,Yadavrao Tasgaonkar College of Engineering & Management,2–3,Tier 4,3220,https://ytcem.com/
215,"G.V. Acharya Institute of Engineering and Technology, Karjat",2–3,Tier 4,3224,https://www.gvaiet.org/
216,"Pad. Vasantraodada Patil Institute of Technology, Budhgaon",2–3,Tier 4,6269,https://www.pvpitsangli.edu.in/
217,"Dr. Rajendra Gode Institute of Technology, Amravati",2–3,Tier 4,1123,https://www.drgitr.ac.in/
218,"Sir Visvesvaraya Institute of Technology, Chincholi, Nashik",2–3,Tier 4,5125,https://svitnashik.in/
219,"Shri Shivaji Education Society's College of Engineering, Akola",2–3,Tier 4,1116,https://coeta.ac.in/
220,"J D College of Engineering and Management, Nagpur",2–3,Tier 4,4138,https://jdcoem.ac.in/
221,"S.N.D. College of Engineering & Research, Babulgaon",2–3,Tier 4,5124,https://sndcoe.ac.in/
222,"Al-Ameen College of Engineering, Koregaon Bhima",2–3,Tier 4,6183,https://almamatters.io/college/al-ameen-educational-and-medical-foundation-college-engineering/
223,"Gharda Institute of Technology, Khed, Ratnagiri",2–3,Tier 4,3216,https://git-india.edu.in/
224,Navsahyadri Education Society's Group of Institutions,2–3,Tier 4,6632,https://navsahyadri.edu.in/
225,"Late Bapusaheb Shivaji Rao Deore College of Engineering, Dhule",2–3,Tier 4,5103,https://www.ssvpsengg.ac.in/
226,Devi Mahalaxmi College of Engineering and Technology,2–3,Tier 4,3546,https://www.dmcet.in/
227,"Tulsiramji Gaikwad Patil College of Engineering, Nagpur",2–3,Tier 4,4151,https://tgpcet.edu.in/
228,"G H Raisoni College of Engineering and Management, Jalgaon",2–3,Tier 4,5152,https://ghrcemj.raisoni.net/
229,"Loknete Shamrao Peje Government College of Engineering, Ratnagiri",2–3,Tier 4,3042,https://www.gcoer.ac.in/
230,"Guru Nanak Institute of Engineering & Technology, Nagpur",2–3,Tier 4,4134,https://www.gnietedu.in/
231,"Group of Institutions (Integrated Campus), Kashti Shrigondha",2–3,Tier 4,5303,https://www.parikrama.edu.in/
232,"Rajiv Gandhi College of Engineering Research & Technology, Chandrapur",2–3,Tier 4,4163,https://www.rcert.ac.in/
233,"Manav School of Engineering & Technology, Akola",2–3,Tier 4,1276,https://engineering.mkct.org.in/
234,"Late Gambhirrao Natuba Sapkal College of Engineering, Nashik",2–3,Tier 4,5182,https://www.lgnscoe.sapkalknowledgehub.org/
235,"Sharadchandra Pawar College of Engineering, Dumbarwadi",2–3,Tier 4,6322,https://spcoe.in/
236,"A.G. Patil Institute of Technology, Solapur",2–3,Tier 4,6308,https://www.agpit.edu.in/
237,"Tatyasaheb Kore Institute of Engineering and Technology, Yelur",2–3,Tier 4,6268,https://www.tkietwarana.ac.in/
238,"Terna Public Charitable Trust's College of Engineering, Osmanabad",2–3,Tier 4,2130,https://coeosmanabad.ac.in/
239,"B.R. Harne College of Engineering & Technology, Ambernath",2–3,Tier 4,3436,https://www.brharnetc.edu.in/
240,Samarth College of Engineering and Management,2–3,Tier 4,6635,https://samarthinstitute.edu.in/engg/
241,"Jhulelal Institute of Technology, Nagpur",2–3,Tier 4,4139,https://www.jitnagpur.edu.in/
242,"Shree Siddheshwar Women's College of Engineering, Solapur",2–3,Tier 4,6938,https://sswcoe.edu.in/
243,"Brahma Valley College of Engineering & Research, Nashik",2–3,Tier 4,5130,https://brahmavalley.edu.in/
244,"Yashoda Technical Campus, Wadhe, Satara",2–3,Tier 4,6757,https://www.yes.edu.in/
245,"Suryodaya College of Engineering & Technology, Nagpur",2–3,Tier 4,4613,https://www.scetngp.com/
